mz,mzmin,mzmax,rt,rtmin,rtmax,into,intb,maxo,sn,sample
107.0332606,107.0331497,107.0334244,886.907,881.791,892.006,1791546.268,1777005.871,527216.5,91,1
107.0333195,107.0333023,107.0333405,1081.21,1075.94,1086.51,2375712.712,2333050.585,473512.625,64,1
107.0333229,107.0333099,107.0333405,1215.17,1208.65,1221.84,3379728.874,2879594.715,608040.5625,25,1
107.0333274,107.0333099,107.0333633,1110.08,1104.79,1115.38,2683844.981,2421606.826,536636.4375,34,1
107.0333293,107.0333023,107.0333557,767.138,763.299,773.557,1460260.625,1460250.367,304345.375,304344,1
107.0333298,107.0332947,107.0333862,1257.47,1252.16,1263.98,3337238.392,2872472.604,535661.4375,22,1
107.0333418,107.0333099,107.0334015,1363.61,1356.9,1370.16,2503438.026,2215833.095,333176.9063,15,1
107.0333446,107.0333328,107.0333633,1141.75,1136.58,1148.32,3027109.793,2736896.815,561555.375,35,1
107.0333447,107.0333099,107.0334549,1176.91,1171.72,1183.47,3437043.095,2989872.844,686314.875,29,1
107.0391357,107.0391083,107.0391541,1215.17,1211.29,1219.05,63225.0389,63218.57223,11247.68359,11247,1
107.0407254,107.0406876,107.0407944,1141.75,1137.89,1145.58,245918.8705,245912.4621,57120.22266,57119,1
107.0407492,107.0406876,107.0409164,1306.37,1301.02,1315.58,282522.0888,276578.0913,35168.51953,21,1
107.0408225,107.040741,107.0408707,1363.61,1356.9,1370.16,236109.5082,222102.4729,34964.26172,14,1
107.0408225,107.0406723,107.0409775,1176.91,1173.02,1183.47,328196.8433,324482.0443,73301.82813,43,1
107.0408259,107.0406799,107.0409698,1257.47,1252.16,1265.29,284102.717,267857.7967,56100.87109,21,1
107.0408606,107.0407333,107.0409241,1215.17,1208.65,1221.84,309542.1929,301480.3547,50234.10938,29,1
107.048915,107.04879,107.0490112,482.287,478.212,491.822,497841.1416,497826.1706,45306.79297,45306,1
107.0489413,107.0488739,107.0490799,46.0382,40.2569,56.2899,352752.001,352734.5104,24209.70508,24209,1
107.0489663,107.0489044,107.0490494,30.0915,24.2186,33.0785,224486.3088,224475.9723,26284.48047,26283,1
107.0489703,107.0489044,107.0490494,116.333,110.505,119.337,251352.372,251342.068,29814.40234,29813,1
107.0489827,107.0488586,107.0490646,16.7312,3.40886,24.2186,500894.6717,500872.3755,29654.30469,29653,1
107.0489995,107.0489349,107.0490494,427.248,421.649,433.214,1006770.938,1006757.927,191064.875,191064,1
107.049008,107.0488815,107.0490417,371.538,365.837,382.133,738130.0167,738112.2393,54742.39844,54741,1
107.0490103,107.0488663,107.0490646,123.793,119.337,129.647,284251.8866,284240.1038,29192.41406,29191,1
107.049015,107.0488968,107.0490952,101.917,96.252,110.505,394605.9162,394590.2379,32507.91016,32507,1
107.0490244,107.0488281,107.0490875,510.26,504.909,514.056,486274.4066,486265.2596,93923.96875,93923,1
107.0490246,107.048996,107.0490494,463.451,460.526,467.552,204296.5101,204288.0789,33386.82813,33386,1
107.049026,107.0489197,107.0490799,452.168,446.416,456.215,352235.6715,352224.4726,39386.45703,39385,1
107.0490269,107.0490036,107.0490494,410.152,404.471,421.649,522719.883,522701.2735,34349.39063,34348,1
107.0490322,107.0489426,107.0490799,472.867,467.552,478.212,351703.6857,351691.6932,39374.56641,39374,1
107.0490384,107.0490189,107.049057,440.444,433.214,446.416,530153.1982,530138.5293,47118.36719,47117,1
107.0490424,107.0490112,107.0490799,60.7913,56.2899,66.5575,223226.1641,223214.4297,22876.18555,22875,1
107.0490427,107.0489426,107.0490799,145.873,140.023,150.275,267043.9959,267032.2793,26586.08984,26261,1
107.0490454,107.0490341,107.049057,240.865,236.253,245.434,492792.7332,492782.0221,55486.78125,55486,1
107.049046,107.0490341,107.049057,350.905,337.552,355.518,2546777.547,2546758.084,250033.1406,106407,1
107.0490462,107.0490265,107.0490799,295.322,281.622,318.068,1176809.494,1176771.53,46250.57031,35734,1
107.0490471,107.0490265,107.0490646,272.643,268.03,277.142,288737.8644,288727.2338,32067.66406,32067,1
107.0490494,107.0490494,107.0490494,249.886,245.434,255.99,534020.662,534008.598,55637.65625,55637,1
107.0490494,107.0490494,107.0490494,330.143,322.676,337.552,26320078.85,26320062.49,3599519.5,3599518,1
107.0490496,107.0489807,107.0490646,190.05,168.139,204.302,22395017.38,22394979.82,1069677.625,1069677,1
107.0490514,107.0490341,107.0490723,361.292,355.518,365.837,681340.9857,681329.1925,65177.42188,63562,1
107.0490518,107.0490341,107.0490646,263.447,255.99,268.03,412485.7233,412472.1783,33761.47656,33760,1
107.0490525,107.0490417,107.049057,230.322,224.216,236.253,587308.0345,587294.4928,47754.67578,47754,1
107.0490536,107.0490341,107.0490723,281.622,277.142,287.721,320182.2902,320170.1999,28561.86523,28561,1
107.0490546,107.0490417,107.049057,219.62,215.013,224.216,631962.2989,631951.5621,69910.04688,63711,1
107.0490584,107.0490417,107.0490952,90.8398,84.0715,96.252,417851.2833,417837.7494,37608.76563,37608,1
107.0490606,107.0490112,107.0491028,497.112,491.822,504.909,514175.2427,514160.847,52162.43359,37347,1
107.0490606,107.0489731,107.0490875,156.156,150.275,159.159,213639.4287,213629.0641,24928.61914,24928,1
107.0490614,107.0490417,107.0490723,176.703,171.01,182.154,6677667.577,6677655.04,952404.6875,952404,1
107.0490614,107.049057,107.0490646,311.961,307.482,322.676,615428.578,615411.8646,53134.36719,39127,1
107.0490656,107.0490494,107.0490799,135.577,129.647,140.023,278206.6592,278194.8009,27098.01953,27097,1
107.0490699,107.0490494,107.0491028,391.197,382.133,394.094,432207.4119,432193.9557,38722.99609,38722,1
107.0490715,107.0490417,107.0491028,78.7878,66.5575,84.0715,600373.0075,600354.1463,45883,45882,1
107.0490837,107.0490723,107.049118,398.487,394.094,404.471,346444.142,346432.2826,35119.02344,35118,1
107.0784838,107.0783997,107.0786362,330.143,325.65,333.036,8401.985954,8396.077154,1628.766724,1628,1
